sample_uid,domain,horizon_text,horizon_years,short_reward,short_delay_text,short_delay_years,long_reward,long_delay_text,long_delay_years,short_first,label_a,label_b,format_name,horizon_canonical,horizon_unit,horizon_value,phrasing_id,pair_id,config_id,scenario_id,rendering,variant,condition,split,horizon_heldout,distractor_text,distractor_years,scale,scale_base_horizon,prompt_id,text,gen_text,gen_ids,n_generated,transition_tokens,response_tokens,pos_valid,choice,choice_gen_index,logit_a,logit_b,p_a,p_b,shard,row,chose_short,p_short,p_short_vocab,p_long_vocab,p_short_canon,dp_short,canon_years,canon_row,along_22:T3,normal_22:T3,along_37:T3,normal_37:T3,along_22:R0,normal_22:R0,along_29:R0,normal_29:R0
s1_000000_1,investment,7 days,0.019164955509924708,10000.0,3 months,0.25,250000.0,2 years,2.0,False,a),b),formatted_v1,1 week,days,7.0,0.0,p1_000000,,,,,,,,,,,,729635856b76,"SITUATION: Plan for the future of the household.
TASK: You, the head of the household, are tasked to choose the best investment:
a) 250,000 dollars in 2 years.
b) 10,000 dollars in 3 months.
OBJECTIVE: Think deeply about which option is preferable.
CONSTRAINT: You must select the option that provides the greatest benefit for this time horizon: 7 days.
ACTION: Select one of the two options. Provide reasoning.
FORMAT: I choose: <a) or b)>. My reasoning: <1-3 sentences>","I choose: b) 10,000 dollars in 3 months. My reasoning: Within a 7-day time horizon, receiving 10,000 dollars immediately allows for immediate use or reinvestment, whereas","[40, 5157, 25, 293, 8, 220, 16, 15, 11, 15, 15, 15, 11192, 304, 220, 18, 3951, 13, 3017, 32711, 25, 24236, 264, 220, 22, 11228, 882, 34074, 11, 12308, 220, 16, 15, 11, 15, 15, 15, 11192, 7069, 6147, 369, 13922, 990, 476, 15244, 93439, 11, 19853]",48,"[""<|im_end|>"", ""\n"", ""<|im_start|>"", ""assistant"", ""\n"", ""<think>"", ""\n\n"", ""</think>"", ""\n\n""]","[""I"", "" choose"", "":"", "" b"", "")"", "" "", ""1"", ""0""]","[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",b,3,41.713645935058594,53.25140380859375,1.004310070129577e-05,0.9914125204086304,0,1,True,0.9999902453613607,0.9914125204086304,1.004310070129577e-05,0.9999800535833578,1.0191778002877072e-05,0.019164955509924708,0,-1.1068194,2.4014482,-0.8061569,2.7178602,-0.8655799,2.0632024,-0.41653606,2.1783087
s1_000000_2,investment,168 hours,0.019164955509924708,10000.0,3 months,0.25,250000.0,2 years,2.0,False,a),b),formatted_v1,1 week,hours,168.0,0.0,p1_000000,,,,,,,,,,,,9a5bdf6b41e7,"SITUATION: Plan for the future of the household.
TASK: You, the head of the household, are tasked to choose the best investment:
a) 250,000 dollars in 2 years.
b) 10,000 dollars in 3 months.
OBJECTIVE: Think deeply about which option is preferable.
CONSTRAINT: You must select the option that provides the greatest benefit for this time horizon: 168 hours.
ACTION: Select one of the two options. Provide reasoning.
FORMAT: I choose: <a) or b)>. My reasoning: <1-3 sentences>","I choose: b) 10,000 dollars in 3 months. My reasoning: With a time horizon of only 168 hours (7 days), the immediate availability of $10,000 provides","[40, 5157, 25, 293, 8, 220, 16, 15, 11, 15, 15, 15, 11192, 304, 220, 18, 3951, 13, 3017, 32711, 25, 3085, 264, 882, 34074, 315, 1172, 220, 16, 21, 23, 4115, 320, 22, 2849, 701, 279, 13922, 18048, 315, 400, 16, 15, 11, 15, 15, 15, 5707]",48,"[""<|im_end|>"", ""\n"", ""<|im_start|>"", ""assistant"", ""\n"", ""<think>"", ""\n\n"", ""</think>"", ""\n\n""]","[""I"", "" choose"", "":"", "" b"", "")"", "" "", ""1"", ""0""]","[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",b,3,46.72761535644531,51.11023712158203,0.010965999215841293,0.7687759399414062,0,2,True,0.9876615754644457,0.7687759399414062,0.010965999215841293,0.9999800535833578,-0.01231847811891218,0.019164955509924708,0,-1.8804448,5.03327,-1.0127277,5.063629,-2.3886902,4.9252653,-0.08804088,6.672637
s1_000001_1,investment,24 hours,0.0027378507871321013,25000.0,6 months,0.5,50000.0,20 years,20.0,True,a),b),formatted_v1,1 day,hours,24.0,0.0,p1_000001,,,,,,,,,,,,cb9d16c61b0b,"SITUATION: Plan for the future of the household.
TASK: You, the head of the household, are tasked to choose the best investment:
a) 25,000 dollars in 6 months.
b) 50,000 dollars in 20 years.
OBJECTIVE: Think deeply about which option is preferable.
CONSTRAINT: You must select the option that provides the greatest benefit for this time horizon: 24 hours.
ACTION: Select one of the two options. Provide reasoning.
FORMAT: I choose: <a) or b)>. My reasoning: <1-3 sentences>","I choose: a) 25,000 dollars in 6 months. My reasoning: For a 24-hour time horizon, immediate access to cash provides greater flexibility and utility in addressing urgent needs or opportunities that may arise","[40, 5157, 25, 264, 8, 220, 17, 20, 11, 15, 15, 15, 11192, 304, 220, 21, 3951, 13, 3017, 32711, 25, 1752, 264, 220, 17, 19, 21231, 882, 34074, 11, 13922, 2615, 311, 8350, 5707, 7046, 24177, 323, 15549, 304, 27020, 33671, 3880, 476, 10488, 429, 1231, 30789]",48,"[""<|im_end|>"", ""\n"", ""<|im_start|>"", ""assistant"", ""\n"", ""<think>"", ""\n\n"", ""</think>"", ""\n\n""]","[""I"", "" choose"", "":"", "" a"", "")"", "" "", ""2"", ""5""]","[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",a,3,55.111045837402344,39.090431213378906,0.9998414516448975,1.1251733411654641e-07,0,4,True,0.9999998897609595,0.9998414516448975,1.1251733411654641e-07,0.9999999979898699,-1.0822891038930749e-07,0.0027378507871321013,3,0.78047913,1.5692769,0.78998154,1.7560241,0.78295296,1.4335827,0.13362598,1.2824941
s1_000002_1,investment,14 days,0.038329911019849415,1000.0,3 months,0.25,2000.0,2 years,2.0,False,a),b),formatted_v1,2 weeks,days,14.0,0.0,p1_000002,,,,,,,,,,,,0c93c33a7e23,"SITUATION: Plan for the future of the household.
TASK: You, the head of the household, are tasked to choose the best investment:
a) 2,000 dollars in 2 years.
b) 1,000 dollars in 3 months.
OBJECTIVE: Think deeply about which option is preferable.
CONSTRAINT: You must select the option that provides the greatest benefit for this time horizon: 14 days.
ACTION: Select one of the two options. Provide reasoning.
FORMAT: I choose: <a) or b)>. My reasoning: <1-3 sentences>","I choose: b) 1,000 dollars in 3 months. My reasoning: Since the time horizon for evaluation is only 14 days, the 1,000 dollars available in 3 months is more","[40, 5157, 25, 293, 8, 220, 16, 11, 15, 15, 15, 11192, 304, 220, 18, 3951, 13, 3017, 32711, 25, 8704, 279, 882, 34074, 369, 16460, 374, 1172, 220, 16, 19, 2849, 11, 279, 220, 16, 11, 15, 15, 15, 11192, 2500, 304, 220, 18, 3951, 374, 803]",48,"[""<|im_end|>"", ""\n"", ""<|im_start|>"", ""assistant"", ""\n"", ""<think>"", ""\n\n"", ""</think>"", ""\n\n""]","[""I"", "" choose"", "":"", "" b"", "")"", "" "", ""1"", "",""]","[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",b,3,43.508056640625,51.104164123535156,0.0005510257906280458,0.9962779879570007,0,6,True,0.9994978490368093,0.9962779879570007,0.0005510257906280458,0.9948860330207068,0.004611816016102499,0.038329911019849415,5,-0.1840094,3.629275,-0.11187485,3.5064745,-0.33606568,3.1302445,-0.6698861,2.5519776
s1_000003_1,investment,240 months,20.0,2500.0,1 week,0.019164955509924708,62500.0,30 years,30.0,False,a),b),formatted_v1,20 years,months,240.0,0.0,p1_000003,,,,,,,,,,,,5907b6450d01,"SITUATION: Plan for the future of the household.
TASK: You, the head of the household, are tasked to choose the best investment:
a) 62,500 dollars in 30 years.
b) 2,500 dollars in 1 week.
OBJECTIVE: Think deeply about which option is preferable.
CONSTRAINT: You must select the option that provides the greatest benefit for this time horizon: 240 months.
ACTION: Select one of the two options. Provide reasoning.
FORMAT: I choose: <a) or b)>. My reasoning: <1-3 sentences>","I choose: **b) 2,500 dollars in 1 week**. My reasoning: With 240 months (20 years) as the time horizon, receiving $2,500 now allows for","[40, 5157, 25, 3070, 65, 8, 220, 17, 11, 20, 15, 15, 11192, 304, 220, 16, 2003, 334, 13, 3017, 32711, 25, 3085, 220, 17, 19, 15, 3951, 320, 17, 15, 1635, 8, 438, 279, 882, 34074, 11, 12308, 400, 17, 11, 20, 15, 15, 1431, 6147, 369]",48,"[""<|im_end|>"", ""\n"", ""<|im_start|>"", ""assistant"", ""\n"", ""<think>"", ""\n\n"", ""</think>"", ""\n\n""]","[""I"", "" choose"", "":"", "" **"", ""b"", "")"", "" "", ""2""]","[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",b,4,51.437103271484375,59.93646240234375,0.00020342697098385543,0.9997965693473816,0,8,True,0.9997964426366346,0.9997965693473816,0.00020342697098385543,0.999914921325087,-0.00011847868845238363,20.0,7,0.8916961,2.986016,0.6897692,2.9405568,0.41436142,3.365721,1.2743042,1.0229449
s1_000003_2,investment,2 decades,20.0,2500.0,1 week,0.019164955509924708,62500.0,30 years,30.0,False,a),b),formatted_v1,20 years,decades,2.0,0.0,p1_000003,,,,,,,,,,,,14ac8cea2076,"SITUATION: Plan for the future of the household.
TASK: You, the head of the household, are tasked to choose the best investment:
a) 62,500 dollars in 30 years.
b) 2,500 dollars in 1 week.
OBJECTIVE: Think deeply about which option is preferable.
CONSTRAINT: You must select the option that provides the greatest benefit for this time horizon: 2 decades.
ACTION: Select one of the two options. Provide reasoning.
FORMAT: I choose: <a) or b)>. My reasoning: <1-3 sentences>","I choose: **b) 2,500 dollars in 1 week**. My reasoning: With 2,500 dollars, I can invest in high-growth assets like stocks, real estate, or a business","[40, 5157, 25, 3070, 65, 8, 220, 17, 11, 20, 15, 15, 11192, 304, 220, 16, 2003, 334, 13, 3017, 32711, 25, 3085, 220, 17, 11, 20, 15, 15, 11192, 11, 358, 646, 2725, 304, 1550, 2371, 19089, 11770, 1075, 22488, 11, 1931, 12394, 11, 476, 264, 2562]",48,"[""<|im_end|>"", ""\n"", ""<|im_start|>"", ""assistant"", ""\n"", ""<think>"", ""\n\n"", ""</think>"", ""\n\n""]","[""I"", "" choose"", "":"", "" **"", ""b"", "")"", "" "", ""2""]","[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",b,4,52.87555694580078,59.55873489379883,0.0015011822106316686,0.998498797416687,0,9,True,0.9987497715178708,0.998498797416687,0.0015011822106316686,0.999914921325087,-0.0011651498072161592,20.0,7,0.38005495,2.6554036,0.074895926,2.6547472,1.1177657,3.2829099,0.5460155,0.8512963
s1_000004_1,investment,180 days,0.4928131416837782,1000.0,6 months,0.5,25000.0,10 years,10.0,True,a),b),formatted_v1,6 months,days,180.0,0.0,p1_000004,,,,,,,,,,,,3f318e9e6924,"SITUATION: Plan for the future of the household.
TASK: You, the head of the household, are tasked to choose the best investment:
a) 1,000 dollars in 6 months.
b) 25,000 dollars in 10 years.
OBJECTIVE: Think deeply about which option is preferable.
CONSTRAINT: You must select the option that provides the greatest benefit for this time horizon: 180 days.
ACTION: Select one of the two options. Provide reasoning.
FORMAT: I choose: <a) or b)>. My reasoning: <1-3 sentences>","I choose: a) 1,000 dollars in 6 months. My reasoning: Since the time horizon is 180 days (6 months), the immediate availability of $1,000 provides greater short-term","[40, 5157, 25, 264, 8, 220, 16, 11, 15, 15, 15, 11192, 304, 220, 21, 3951, 13, 3017, 32711, 25, 8704, 279, 882, 34074, 374, 220, 16, 23, 15, 2849, 320, 21, 3951, 701, 279, 13922, 18048, 315, 400, 16, 11, 15, 15, 15, 5707, 7046, 2805, 9663]",48,"[""<|im_end|>"", ""\n"", ""<|im_start|>"", ""assistant"", ""\n"", ""<think>"", ""\n\n"", ""</think>"", ""\n\n""]","[""I"", "" choose"", "":"", "" a"", "")"", "" "", ""1"", "",""]","[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",a,3,55.27146911621094,33.99822998046875,0.9996646642684937,5.903323940792404e-10,0,11,True,0.9999999994230349,0.9996646642684937,5.903323940792404e-10,0.9999999999852554,-5.622204923838581e-10,0.5,10,-1.588801,4.219131,-1.4319068,4.202154,-1.7451545,4.683569,-1.6854271,3.92283
s1_000004_2,investment,26 weeks,0.4982888432580424,1000.0,6 months,0.5,25000.0,10 years,10.0,True,a),b),formatted_v1,6 months,weeks,26.0,0.0,p1_000004,,,,,,,,,,,,b33ffea4f36f,"SITUATION: Plan for the future of the household.
TASK: You, the head of the household, are tasked to choose the best investment:
a) 1,000 dollars in 6 months.
b) 25,000 dollars in 10 years.
OBJECTIVE: Think deeply about which option is preferable.
CONSTRAINT: You must select the option that provides the greatest benefit for this time horizon: 26 weeks.
ACTION: Select one of the two options. Provide reasoning.
FORMAT: I choose: <a) or b)>. My reasoning: <1-3 sentences>","I choose: a) 1,000 dollars in 6 months. My reasoning: Since the time horizon is 26 weeks (approximately 6 months), the immediate availability of $1,000 provides greater short","[40, 5157, 25, 264, 8, 220, 16, 11, 15, 15, 15, 11192, 304, 220, 21, 3951, 13, 3017, 32711, 25, 8704, 279, 882, 34074, 374, 220, 17, 21, 5555, 320, 96736, 220, 21, 3951, 701, 279, 13922, 18048, 315, 400, 16, 11, 15, 15, 15, 5707, 7046, 2805]",48,"[""<|im_end|>"", ""\n"", ""<|im_start|>"", ""assistant"", ""\n"", ""<think>"", ""\n\n"", ""</think>"", ""\n\n""]","[""I"", "" choose"", "":"", "" a"", "")"", "" "", ""1"", "",""]","[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",a,3,55.223731994628906,35.020347595214844,0.9996646642684937,1.6046896034183078e-09,0,12,True,0.9999999983181718,0.9996646642684937,1.6046896034183078e-09,0.9999999999852554,-1.6670835822907293e-09,0.5,10,-1.4816289,3.8161561,-1.3927698,4.0232153,-1.6417052,4.187979,-1.7177273,3.9872007
s1_000005_1,investment,36 months,3.0,25000.0,1 year,1.0,125000.0,20 years,20.0,True,a),b),formatted_v1,3 years,months,36.0,0.0,p1_000005,,,,,,,,,,,,6e521e7079cc,"SITUATION: Plan for the future of the household.
TASK: You, the head of the household, are tasked to choose the best investment:
a) 25,000 dollars in 1 year.
b) 125,000 dollars in 20 years.
OBJECTIVE: Think deeply about which option is preferable.
CONSTRAINT: You must select the option that provides the greatest benefit for this time horizon: 36 months.
ACTION: Select one of the two options. Provide reasoning.
FORMAT: I choose: <a) or b)>. My reasoning: <1-3 sentences>","I choose: a) 25,000 dollars in 1 year. My reasoning: Receiving 25,000 dollars in 1 year allows for immediate use or reinvestment within the 36-month","[40, 5157, 25, 264, 8, 220, 17, 20, 11, 15, 15, 15, 11192, 304, 220, 16, 1042, 13, 3017, 32711, 25, 1032, 46344, 220, 17, 20, 11, 15, 15, 15, 11192, 304, 220, 16, 1042, 6147, 369, 13922, 990, 476, 15244, 93439, 2878, 279, 220, 18, 21, 22289]",48,"[""<|im_end|>"", ""\n"", ""<|im_start|>"", ""assistant"", ""\n"", ""<think>"", ""\n\n"", ""</think>"", ""\n\n""]","[""I"", "" choose"", "":"", "" a"", "")"", "" "", ""2"", ""5""]","[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",a,3,54.567108154296875,38.27168273925781,0.9984986782073975,8.751090518899218e-08,0,14,True,0.999999916249651,0.9984986782073975,8.751090518899218e-08,0.9999999993705582,-8.31209071572303e-08,3.0,13,1.0585593,4.43163,0.867158,4.358652,2.1465883,4.7317924,1.1243222,3.457594
s1_000005_2,investment,156 weeks,2.9897330595482545,25000.0,1 year,1.0,125000.0,20 years,20.0,True,a),b),formatted_v1,3 years,weeks,156.0,0.0,p1_000005,,,,,,,,,,,,c6f3ba355e25,"SITUATION: Plan for the future of the household.
TASK: You, the head of the household, are tasked to choose the best investment:
a) 25,000 dollars in 1 year.
b) 125,000 dollars in 20 years.
OBJECTIVE: Think deeply about which option is preferable.
CONSTRAINT: You must select the option that provides the greatest benefit for this time horizon: 156 weeks.
ACTION: Select one of the two options. Provide reasoning.
FORMAT: I choose: <a) or b)>. My reasoning: <1-3 sentences>","I choose: a) 25,000 dollars in 1 year. My reasoning: Within 156 weeks (approximately 3 years), receiving 25,000 dollars in 1 year provides immediate","[40, 5157, 25, 264, 8, 220, 17, 20, 11, 15, 15, 15, 11192, 304, 220, 16, 1042, 13, 3017, 32711, 25, 24236, 220, 16, 20, 21, 5555, 320, 96736, 220, 18, 1635, 701, 12308, 220, 17, 20, 11, 15, 15, 15, 11192, 304, 220, 16, 1042, 5707, 13922]",48,"[""<|im_end|>"", ""\n"", ""<|im_start|>"", ""assistant"", ""\n"", ""<think>"", ""\n\n"", ""</think>"", ""\n\n""]","[""I"", "" choose"", "":"", "" a"", "")"", "" "", ""2"", ""5""]","[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",a,3,53.173519134521484,42.33838653564453,0.9932906627655029,1.6589643564657308e-05,0,15,True,0.9999803051286552,0.9932906627655029,1.6589643564657308e-05,0.9999999993705582,-1.9694241902956655e-05,3.0,13,1.2997766,8.084109,1.4005204,7.3103414,3.1443298,7.9897556,2.1323917,5.2726517
